Symbol,Stock Price,Market Cap,Company Name,Analysts,PT Upside (%),Rev. Growth,Rev. Growth 5Y,Rev. Growth 3Y,Rev Gr. Next Y,Z-Score,ROA,ROA (5Y),ROIC,ROIC (5Y),Oper. Margin
JPM,276.15,775598016600,JPMorgan Chase & Co.,17,-9.16%,12.52%,8.93%,12.51%,3.62%,,1.30%,1.10%,5.16%,5.22%,46.05%
V,351.68,685109122670,Visa Inc.,29,-0.16%,10.35%,9.36%,13.04%,10.36%,9.27,21.60%,17.64%,33.63%,25.49%,64.87%
MA,563.97,514310689600,Mastercard Incorporated,25,7.50%,11.73%,10.84%,15.24%,12.46%,11.62,28.20%,26.04%,48.85%,46.58%,55.15%
UNH,532.045,491358033280,UnitedHealth Group Incorporated,21,17.16%,9.42%,10.45%,12.14%,8.02%,3.50,5.00%,8.20%,13.83%,16.13%,8.18%
ORCL,172.685,495593342400,Oracle Corporation,28,7.63%,6.40%,6.77%,9.89%,12.63%,2.73,8.10%,8.28%,14.31%,14.67%,30.30%
COST,1065.0031,468872757740,Costco Wholesale Corporation,26,-5.25%,5.35%,10.84%,8.42%,7.05%,10.07,10.90%,9.10%,22.28%,18.46%,3.67%
XOM,107.875,490975503900,Exxon Mobil Corporation,18,19.49%,-1.45%,5.38%,12.34%,3.58%,4.18,8.00%,5.88%,11.37%,8.98%,14.45%
NFLX,1020.99,431213276560,"Netflix, Inc.",31,0.34%,15.65%,14.11%,9.51%,11.96%,11.21,17.10%,11.44%,22.58%,17.07%,26.71%
HD,406.9225,413596618680,"The Home Depot, Inc.",28,4.85%,0.57%,6.86%,1.53%,3.34%,6.35,16.70%,21.32%,23.29%,34.04%,13.70%
PG,169.65,398530706000,The Procter & Gamble Company,19,6.37%,0.49%,3.92%,2.49%,3.19%,5.97,12.60%,12.02%,18.52%,17.83%,23.57%
JNJ,154.68,375901710600,Johnson & Johnson,17,9.79%,4.61%,-0.46%,-4.43%,4.10%,4.08,8.40%,12.00%,16.37%,18.00%,24.73%
NVO,81.5225,376055264484,Novo Nordisk A/S,4,73.70%,25.03%,18.94%,27.29%,17.21%,6.85,26.40%,27.94%,41.38%,52.95%,44.08%
BAC,46.07,356112139400,Bank of America Corporation,21,4.87%,-2.62%,1.47%,4.16%,6.19%,,0.70%,0.86%,2.79%,3.83%,31.21%
ABBV,191.9,340969663000,AbbVie Inc.,21,8.93%,0.72%,11.06%,0.22%,7.78%,1.91,3.60%,7.04%,12.78%,17.53%,24.89%
SAP,291.84,332140053953,SAP SE,7,-18.48%,9.51%,4.40%,8.24%,12.00%,8.29,4.40%,6.42%,12.90%,9.17%,32.42%
CRM,326.085,306249570000,"Salesforce, Inc.",39,14.87%,9.53%,18.60%,14.18%,9.06%,6.51,6.30%,2.70%,8.38%,1.72%,18.84%
TMUS,259.12,295368138000,"T-Mobile US, Inc.",20,-4.03%,3.62%,12.59%,0.53%,5.27%,1.98,5.40%,2.78%,8.12%,4.75%,22.26%
ASML,751.07,288483248613,ASML Holding N.V.,7,27.38%,2.56%,19.05%,14.94%,13.51%,,17.80%,18.16%,33.33%,35.20%,31.72%
KO,68.055,292715010000,The Coca-Cola Company,17,6.63%,2.97%,5.19%,7.04%,2.93%,4.15,10.30%,10.06%,10.72%,13.07%,20.61%
CVX,155.27,282933849600,Chevron Corporation,16,12.21%,-5.94%,5.33%,12.31%,5.39%,3.87,6.40%,5.48%,9.37%,7.84%,12.87%
BABA,118.98,276599901956,Alibaba Group Holding Limited,14,-4.74%,5.14%,16.68%,5.69%,8.39%,3.10,4.80%,6.88%,7.08%,7.07%,10.99%
PLTR,116.9,252245175307,Palantir Technologies Inc.,19,-36.22%,24.52%,,22.74%,26.33%,129.00,9.40%,-23.08%,7.27%,-8.36%,13.80%
WFC,79.4,261927996000,Wells Fargo & Company,20,-7.10%,0.30%,-0.71%,2.67%,4.49%,,0.90%,0.74%,3.81%,3.61%,25.96%
CSCO,62.1103,248643706800,"Cisco Systems, Inc.",18,-2.08%,-8.72%,0.38%,1.42%,4.87%,2.61,8.00%,11.60%,12.40%,20.05%,19.37%
ACN,390.79,243943454800,Accenture plc,20,-0.54%,2.75%,8.58%,7.29%,6.86%,7.31,13.70%,14.38%,20.47%,24.69%,15.04%
TM,183.085,243243631453,Toyota Motor Corporation,2,,6.94%,8.76%,14.73%,3.73%,1.72,5.50%,4.28%,4.46%,3.99%,10.44%
IBM,255.55,235507081500,International Business Machines Corporation,15,-7.31%,2.31%,-4.09%,13.69%,4.65%,3.52,4.70%,4.20%,9.58%,7.85%,12.69%
PM,150.185,230088182800,Philip Morris International Inc.,13,-13.85%,7.69%,4.91%,6.45%,7.16%,3.83,10.90%,17.06%,27.66%,36.96%,35.38%
ABT,130.24,226711266600,Abbott Laboratories,17,0.87%,3.15%,5.62%,-0.87%,7.45%,5.72,7.90%,7.74%,10.35%,10.89%,16.24%
GE,209.985,224124417800,General Electric Company,20,-2.33%,9.49%,-15.57%,-11.83%,10.93%,2.79,4.90%,,12.42%,4.63%,14.21%
AZN,74.085,228338410800,AstraZeneca PLC,7,21.27%,18.03%,17.27%,13.06%,5.78%,3.04,6.80%,4.32%,11.40%,8.47%,18.50%
MS,137.195,221985201600,Morgan Stanley,16,-2.04%,8.22%,8.36%,-0.22%,5.85%,,0.90%,0.94%,2.72%,3.38%,25.56%
MCD,306.4522,222302690200,McDonald's Corporation,26,5.60%,3.69%,3.99%,4.81%,2.76%,4.92,15.00%,13.04%,19.29%,17.22%,44.90%
GS,648.755,200935658000,"The Goldman Sachs Group, Inc.",17,-8.73%,11.93%,8.01%,-4.46%,4.91%,,0.70%,0.86%,1.21%,1.55%,30.21%
LIN,458.78,219385036920,Linde plc,12,9.02%,1.77%,4.15%,3.52%,5.99%,4.07,7.90%,4.64%,10.57%,6.24%,25.59%
MRK,86.015,218915045600,"Merck & Co., Inc.",15,41.63%,6.51%,6.56%,11.05%,5.97%,3.60,11.00%,9.44%,14.64%,11.29%,21.60%
AXP,307.12,215027481900,American Express Company,22,-4.89%,9.30%,8.73%,11.53%,8.23%,,3.70%,3.34%,12.45%,10.33%,21.22%
NVS,107.14,212815812920,Novartis AG,5,15.46%,10.85%,1.22%,5.56%,2.10%,,12.00%,11.40%,16.87%,11.18%,28.12%
ISRG,590.135,211016114050,"Intuitive Surgical, Inc.",19,-2.01%,17.24%,13.27%,13.51%,15.63%,58.96,13.50%,11.94%,12.49%,12.04%,28.12%
TMO,539.54,208550475000,Thermo Fisher Scientific Inc.,20,21.93%,-2.42%,10.93%,2.75%,6.68%,3.95,6.20%,8.10%,7.71%,10.07%,16.93%
SHEL,66.83,203057411400,Shell plc,6,17.45%,-16.32%,10.25%,-12.62%,3.22%,2.34,4.60%,3.62%,8.32%,6.31%,11.54%
NOW,993.7,207864300000,"ServiceNow, Inc.",29,13.62%,22.44%,25.99%,23.05%,19.59%,12.68,7.60%,5.14%,9.41%,6.76%,12.42%
ADBE,457.06,199223516940,Adobe Inc.,26,26.37%,10.80%,14.00%,10.86%,10.13%,10.71,18.70%,19.58%,26.82%,26.66%,31.35%
DIS,109.2202,196678513050,The Walt Disney Company,26,15.34%,4.01%,4.23%,8.22%,5.60%,2.22,2.90%,0.96%,4.61%,2.01%,10.07%
PEP,143.7,199745260000,"PepsiCo, Inc.",16,20.02%,0.42%,6.46%,4.94%,3.70%,3.77,9.60%,8.94%,16.64%,15.68%,14.03%
BX,161.07,209585047006,Blackstone Inc.,16,7.77%,35.43%,14.73%,-17.61%,19.28%,,5.50%,6.88%,21.58%,24.79%,49.06%
HSBC,55.155,194976600000,HSBC Holdings plc,1,,30.50%,9.97%,-7.50%,-4.63%,,0.70%,0.38%,5.83%,2.98%,46.23%
QCOM,169.705,190220940000,QUALCOMM Incorporated,28,20.18%,12.13%,10.67%,4.14%,6.32%,6.43,19.50%,20.18%,24.57%,29.09%,26.29%
T,25.3456,180622140112,AT&T Inc.,18,2.19%,0.26%,-7.72%,-1.57%,1.39%,0.83,2.20%,1.34%,5.34%,3.87%,15.56%
AMD,110.67,178009728000,"Advanced Micro Devices, Inc.",29,51.91%,13.69%,30.81%,16.20%,23.27%,9.89,2.40%,13.84%,2.58%,17.29%,7.37%
CAT,354.37,174885730690,Caterpillar Inc.,18,6.37%,-1.39%,3.61%,10.70%,4.81%,3.98,12.50%,7.98%,18.43%,11.61%,20.23%
VZ,40.515,170447918700,Verizon Communications Inc.,14,14.02%,0.11%,0.43%,0.00%,1.86%,1.15,2.60%,5.52%,5.60%,9.57%,16.29%
RTX,127.365,171990013200,RTX Corporation,14,9.24%,17.15%,12.23%,7.83%,5.72%,2.13,2.90%,1.68%,5.19%,2.68%,8.26%
RY,118.045,166375700000,Royal Bank of Canada,2,32.52%,11.43%,4.51%,4.89%,5.53%,,0.80%,0.82%,13.42%,12.31%,38.88%
UBER,79.11,160665673000,"Uber Technologies, Inc.",36,14.55%,16.70%,27.99%,41.39%,15.57%,3.71,10.50%,-15.18%,9.00%,-16.56%,6.39%
BKNG,4968.55,162085130844,Booking Holdings Inc.,32,1.78%,11.74%,9.06%,35.75%,7.80%,6.69,18.60%,11.50%,40.40%,20.62%,27.92%
SPGI,529.77,167720253000,S&P Global Inc.,15,10.40%,13.69%,16.23%,19.64%,6.28%,5.43,6.40%,11.62%,9.37%,24.76%,38.56%
ARM,155.79,166257960000,Arm Holdings plc,28,2.78%,25.73%,,,24.59%,49.75,10.00%,,8.43%,,11.99%
PDD,117.825,165249815479,PDD Holdings Inc.,10,45.29%,87.39%,71.61%,58.60%,24.89%,6.58,26.60%,4.50%,31.06%,2.26%,27.55%
TXN,178.64,163514897250,Texas Instruments Incorporated,22,15.73%,-13.26%,1.27%,-3.69%,13.36%,8.94,14.40%,29.88%,15.87%,33.24%,35.78%
INTU,575.08,163997771960,Intuit Inc.,21,26.20%,12.48%,19.07%,17.16%,12.30%,8.19,9.20%,12.94%,12.06%,13.72%,21.66%
AMGN,294.37,159464539780,Amgen Inc.,21,9.47%,21.25%,6.82%,8.08%,1.55%,1.48,4.50%,10.34%,8.28%,17.32%,19.11%
SHOP,122,154690008955,Shopify Inc.,32,-7.69%,25.78%,41.27%,24.41%,22.87%,41.01,16.60%,3.12%,7.68%,-1.42%,12.11%
BSX,105.725,155695401200,Boston Scientific Corporation,23,1.43%,15.65%,8.89%,11.52%,10.23%,6.26,4.90%,5.42%,6.45%,11.61%,15.78%
C,80.61,151256718000,Citigroup Inc.,14,4.21%,-0.04%,1.58%,2.87%,3.64%,,0.30%,0.68%,0.98%,2.21%,14.10%
SCHW,82.45,148067712000,The Charles Schwab Corporation,15,5.52%,-5.73%,11.68%,1.37%,12.32%,,1.00%,0.96%,5.00%,7.89%,35.12%
PGR,257.57,150887596840,The Progressive Corporation,16,6.63%,22.66%,14.66%,15.58%,10.95%,,8.40%,5.44%,24.47%,16.70%,14.62%
HDB,60.43,154738045293,HDFC Bank Limited,1,,63.89%,162.19%,121.26%,13.64%,,1.80%,1.92%,4.66%,7.22%,40.61%
BLK,970.26,153051427800,"BlackRock, Inc.",12,16.14%,10.22%,6.71%,1.08%,0.53%,,4.80%,3.56%,9.90%,10.95%,36.59%
UNP,247.645,149699770780,Union Pacific Corporation,19,5.22%,0.54%,2.24%,3.61%,4.99%,3.95,10.00%,9.86%,15.21%,15.05%,40.05%
SYK,386.86,147115066560,Stryker Corporation,20,8.68%,10.51%,8.60%,9.65%,7.99%,5.32,8.80%,6.66%,10.50%,8.65%,19.86%
AMAT,180.75,148886823200,"Applied Materials, Inc.",21,20.55%,2.49%,13.22%,5.62%,7.47%,9.86,21.80%,22.26%,27.42%,30.77%,28.95%
DHR,202.62,143234355250,Danaher Corporation,18,36.42%,-4.74%,5.18%,-10.63%,6.71%,4.16,4.80%,6.40%,5.20%,6.90%,19.87%
UL,59.235,145863530400,Unilever PLC,5,1.24%,-0.96%,,4.83%,3.83%,,8.40%,8.86%,14.46%,15.23%,16.31%
MUFG,12.345,144078219464,"Mitsubishi UFJ Financial Group, Inc.",,,35.04%,16.77%,18.08%,6.20%,,0.30%,,1.19%,0.60%,35.33%
PFE,25.49,144678254700,Pfizer Inc.,14,25.05%,-13.22%,8.37%,-4.44%,0.36%,1.79,1.90%,9.08%,2.69%,10.78%,6.49%
NEE,69.87,144626612000,"NextEra Energy, Inc.",15,23.79%,-4.22%,6.67%,16.93%,8.27%,1.18,3.80%,3.06%,6.61%,5.15%,35.05%
LOW,250.12,140626082500,"Lowe's Companies, Inc.",26,13.00%,-7.20%,3.13%,-4.20%,1.36%,3.71,15.50%,14.26%,29.93%,29.50%,12.33%
TJX,123.98,140160268800,"The TJX Companies, Inc.",18,6.26%,7.83%,6.78%,7.33%,5.71%,6.25,15.90%,10.64%,22.61%,16.37%,11.07%
ANET,109.86,147190358400,Arista Networks Inc,18,-5.69%,18.19%,21.93%,33.62%,18.87%,27.37,23.70%,19.92%,26.14%,23.81%,42.11%
BA,183.03,135343352560,The Boeing Company,21,9.68%,-14.50%,-2.77%,2.21%,16.50%,1.11,-8.30%,-4.82%,-21.52%,-13.65%,-16.17%
TTE,60.665,137137161102,TotalEnergies SE,5,19.13%,-10.66%,2.11%,1.94%,-0.08%,2.23,5.60%,4.20%,8.94%,6.42%,13.24%
SNY,54.74,134549195700,Sanofi,1,9.56%,12.75%,8.78%,10.65%,6.31%,,3.30%,5.94%,5.20%,8.05%,13.43%
HON,205.325,133801325190,Honeywell International Inc.,14,19.63%,3.96%,0.49%,3.00%,5.12%,3.42,8.40%,8.82%,13.40%,15.01%,21.52%
SONY,21.92,132849117274,Sony Group Corporation,3,9.56%,12.33%,8.91%,11.21%,2.32%,1.17,3.30%,3.14%,8.72%,9.33%,10.04%
CMCSA,35.11,132872763400,Comcast Corporation,23,29.27%,1.78%,2.58%,2.06%,3.17%,1.44,6.10%,4.60%,10.76%,7.81%,18.83%
SPOT,644.29,124762902939,Spotify Technology S.A.,29,-17.96%,18.31%,18.30%,17.47%,14.61%,12.95,10.90%,-2.52%,15.39%,-4.06%,8.67%
DE,475.56,129176079300,Deere & Company,18,-5.94%,-15.57%,5.67%,5.51%,5.93%,,6.70%,7.28%,11.01%,10.50%,24.27%
APP,385.87,126286554021,AppLovin Corporation,20,-14.55%,41.48%,,19.57%,23.77%,,21.60%,,32.09%,6.11%,35.78%
FI,226.755,130788788910,"Fiserv, Inc.",25,4.95%,6.99%,21.20%,8.39%,8.36%,2.40,3.40%,2.38%,8.78%,4.44%,28.11%
PANW,196.22,128280538000,"Palo Alto Networks, Inc.",44,3.84%,15.00%,22.41%,22.06%,15.28%,5.95,14.30%,1.30%,27.71%,3.82%,9.11%
BHP,51,127323322383,BHP Group Limited,3,3.75%,3.42%,-5.80%,8.87%,-1.58%,3.15,7.80%,13.90%,16.40%,21.49%,36.28%
GILD,102.15,128826929900,"Gilead Sciences, Inc.",26,-2.72%,3.31%,4.82%,0.98%,0.39%,3.08,0.20%,6.90%,1.31%,10.21%,2.90%
SBUX,111.73,126380234000,Starbucks Corporation,26,-5.59%,-1.47%,6.03%,5.99%,6.87%,3.18,11.50%,11.14%,19.70%,18.82%,13.15%
COP,98.98,130843594000,ConocoPhillips,17,34.53%,-8.01%,8.14%,14.39%,4.33%,3.77,10.40%,9.36%,15.74%,14.41%,28.08%
KKR,140.37,126537103340,KKR & Co. Inc.,14,14.98%,83.02%,50.56%,17.56%,18.77%,,0.90%,1.88%,1.26%,2.80%,5.35%
ADP,305.2,124413014380,"Automatic Data Processing, Inc.",11,-3.82%,7.09%,6.58%,8.24%,5.64%,2.39,6.80%,5.76%,42.72%,39.67%,26.22%
ETN,309.71,125084752000,Eaton Corporation plc,19,20.06%,8.81%,2.63%,8.03%,7.44%,5.25,9.70%,6.66%,13.06%,8.89%,18.43%
MDT,91.52,116944848000,Medtronic plc,16,2.34%,3.25%,1.33%,1.24%,4.75%,2.90,4.80%,4.54%,5.90%,6.02%,16.40%
VRTX,447.105,116981260605,Vertex Pharmaceuticals Incorporated,26,13.08%,10.06%,24.03%,14.23%,8.75%,12.00,-2.20%,19.62%,,20.52%,-3.01%
PLD,120.6,112780329750,"Prologis, Inc.",19,6.92%,0.06%,18.96%,19.76%,7.11%,,3.30%,4.04%,4.29%,4.70%,48.54%
BMY,55.7,113223148500,Bristol-Myers Squibb Company,15,2.22%,5.56%,14.43%,1.42%,-1.02%,1.46,-7.60%,3.82%,-10.28%,5.02%,-14.50%
MMC,228.115,111975816000,"Marsh & McLennan Companies, Inc.",16,1.42%,7.84%,8.26%,7.83%,5.88%,3.51,8.30%,7.66%,14.96%,11.99%,23.62%
CRWD,436.7,106295612877,"CrowdStrike Holdings, Inc.",45,-14.43%,31.35%,55.62%,42.76%,21.26%,14.39,1.80%,-5.62%,-0.11%,-8.34%,-0.15%
NKE,71.87,104456597455,"NIKE, Inc.",32,26.96%,-4.97%,3.73%,1.89%,1.83%,4.84,12.90%,13.82%,17.51%,19.38%,11.18%
CB,265.07,108014140080,Chubb Limited,19,10.79%,13.25%,10.53%,10.61%,5.52%,,4.20%,3.14%,12.85%,8.92%,21.39%
TD,59.905,106206383600,The Toronto-Dominion Bank,2,39.40%,2.98%,5.36%,4.98%,4.69%,,0.50%,0.74%,1.98%,5.21%,24.83%
UBS,33.06,105638103510,UBS Group AG,3,,18.14%,2.77%,13.69%,2.64%,,3.30%,1.14%,0.26%,1.62%,3.76%
RIO,62.46,105434649822,Rio Tinto Group,4,16.88%,-2.72%,,-3.71%,-1.39%,2.96,10.00%,12.62%,15.39%,20.32%,27.43%
LRCX,81.6,103873767200,Lam Research Corporation,22,16.37%,13.21%,11.16%,-0.64%,4.49%,9.65,22.50%,23.02%,30.45%,32.43%,29.50%
LMT,444.21,105773052960,Lockheed Martin Corporation,12,24.55%,5.14%,3.50%,1.95%,3.73%,3.41,9.70%,11.80%,22.35%,30.82%,9.75%
GEV,375.38,102790996242,GE Vernova Inc.,25,-1.47%,5.10%,,,8.62%,2.44,3.10%,,3.07%,,1.35%
MELI,2028.87,103178334532,"MercadoLibre, Inc.",14,12.57%,38.53%,56.06%,44.68%,22.20%,4.85,7.20%,,15.03%,4.06%,10.81%
MU,92.25,101601162300,"Micron Technology, Inc.",25,48.27%,79.80%,7.11%,-0.59%,25.29%,4.20,5.70%,4.32%,6.43%,4.84%,15.83%
IBN,28.95,102459898300,ICICI Bank Limited,,,26.78%,76.18%,52.42%,13.51%,,2.00%,1.44%,25.77%,20.75%,48.43%
ADI,203.84,100937930220,"Analog Devices, Inc.",21,21.83%,-23.39%,9.49%,8.81%,13.56%,5.34,3.40%,5.20%,4.37%,6.30%,21.56%
KLAC,751.05,99401469305,KLA Corporation,20,10.92%,12.15%,15.49%,9.93%,4.15%,7.40,21.00%,21.20%,36.82%,34.01%,37.04%
BUD,52.245,101348308252,Anheuser-Busch InBev SA/NV,3,22.45%,8.38%,5.78%,3.74%,1.18%,1.26,2.90%,2.16%,6.52%,4.61%,23.51%
CEG,315.22,97317327590,Constellation Energy Corporation,13,-6.47%,-9.35%,,9.14%,0.43%,2.45,5.60%,,11.82%,6.30%,13.81%
ENB,45.185,98502596920,Enbridge Inc.,1,39.41%,6.07%,-0.30%,2.90%,-21.51%,0.92,3.20%,2.68%,4.27%,4.33%,17.70%
UPS,114.38,97736431054,"United Parcel Service, Inc.",22,22.63%,-2.57%,4.33%,-1.33%,1.75%,3.33,8.20%,11.18%,14.29%,20.80%,8.84%
INTC,22.205,90800100000,Intel Corporation,31,15.85%,-2.08%,-5.90%,-12.41%,6.76%,1.10,-9.50%,4.48%,-7.82%,4.83%,-21.99%
ICE,166.23,95917881100,"Intercontinental Exchange, Inc.",16,7.97%,18.76%,12.43%,8.66%,6.37%,0.88,2.00%,1.62%,6.86%,6.71%,36.64%
SMFG,14.65,94373418255,"Sumitomo Mitsui Financial Group, Inc.",,,4.18%,,11.69%,8.14%,,0.30%,0.26%,-1.34%,-1.34%,-29.35%
RELX,51.41,94447591126,RELX PLC,1,,7.11%,11.42%,9.97%,6.12%,,11.60%,10.48%,20.61%,17.32%,28.20%
SO,86.2916,93450547200,The Southern Company,14,4.11%,0.66%,3.89%,5.57%,3.19%,,3.30%,2.84%,5.95%,4.90%,27.31%
WELL,148,89293746000,Welltower Inc.,10,-7.92%,16.91%,7.99%,18.03%,15.34%,,2.00%,1.80%,2.91%,2.37%,18.04%
BTI,42.535,93567727053,British American Tobacco p.l.c.,1,,-7.24%,,3.26%,1.64%,0.77,-10.40%,1.50%,-18.82%,1.93%,-65.50%
MRVL,106.43,92344816000,"Marvell Technology, Inc.",28,11.61%,-2.24%,14.55%,11.13%,42.65%,8.82,-7.20%,1.14%,-5.66%,-2.89%,-18.39%
WM,227.735,91126136640,"Waste Management, Inc.",20,3.04%,6.17%,6.72%,7.28%,5.58%,3.64,7.90%,6.56%,12.29%,10.83%,18.37%
MCO,503.33,90432390000,Moody's Corporation,16,-0.56%,20.43%,8.17%,4.93%,6.30%,7.25,13.30%,13.36%,18.15%,19.54%,40.78%
EQIX,938.32,91050125048,"Equinix, Inc.",19,4.24%,8.16%,9.53%,9.81%,7.57%,2.72,3.20%,2.16%,4.04%,3.58%,18.18%
MO,53.395,91265518500,"Altria Group, Inc.",7,-0.22%,-2.44%,-0.97%,-2.68%,0.83%,4.82,28.60%,9.96%,38.85%,15.67%,46.44%
BP,34.76,90329017155,BP p.l.c.,10,3.71%,-8.64%,3.54%,5.83%,-3.45%,,0.10%,-0.04%,0.55%,0.78%,5.80%
BAM,55.16,91111253155,Brookfield Asset Management Ltd.,12,-2.87%,-0.05%,,,16.95%,,13.10%,,21.21%,,54.81%
DUK,115.89,90140924580,Duke Energy Corporation,12,5.58%,3.46%,3.78%,7.77%,3.49%,0.71,2.30%,1.68%,5.02%,4.54%,25.39%
SHW,355.9,91012118610,The Sherwin-Williams Company,17,12.58%,0.10%,5.25%,5.43%,4.88%,4.57,10.90%,9.18%,17.69%,15.40%,16.14%
APO,157.8789,87565684160,"Apollo Global Management, Inc.",21,3.05%,20.57%,75.73%,73.99%,14.40%,,1.70%,3.66%,30.79%,6.84%,23.89%
CME,247.8198,87113184660,CME Group Inc.,16,-7.26%,13.03%,4.01%,9.21%,2.78%,0.71,2.60%,1.92%,2.28%,1.90%,63.66%
ELV,384.29,90732916060,"Elevance Health, Inc.",15,38.19%,3.32%,11.70%,9.17%,7.28%,3.15,5.70%,5.86%,10.22%,10.60%,5.40%
INFY,21.655,91225371900,Infosys Limited,7,-6.39%,1.92%,77.18%,38.45%,9.42%,12.76,19.90%,19.40%,24.18%,24.22%,20.66%
AMT,190.08,90383038380,American Tower Corporation,14,19.17%,2.59%,7.23%,6.92%,-2.02%,1.18,1.70%,3.56%,6.76%,5.77%,39.63%
SAN,5.955,89992437500,"Banco Santander, S.A.",1,,76.37%,13.95%,27.31%,2.68%,0.29,0.67%,0.32%,1.70%,3.05%,12.80%
BN,58.4,88511738400,Brookfield Corporation,9,5.79%,0.34%,8.54%,11.74%,24.64%,,0.20%,,2.38%,2.71%,13.57%
ABNB,140.2,86448375830,"Airbnb, Inc.",30,-2.32%,12.90%,24.31%,26.79%,10.11%,4.77,7.80%,-4.22%,12.27%,24.42%,15.01%
PH,675.145,87690251969,Parker-Hannifin Corporation,18,7.92%,0.41%,6.99%,9.19%,5.37%,5.71,10.80%,7.40%,14.16%,11.47%,19.69%
PBR.A,12.605,85783830528,Petróleo Brasileiro S.A. - Petrobras,8,44.74%,-17.73%,,,0.68%,5.93,12.30%,9.70%,19.00%,17.51%,6.44%
PBR,13.6648,85084002276,Petróleo Brasileiro S.A. - Petrobras,8,33.54%,-17.73%,,,0.68%,5.91,12.30%,9.70%,19.00%,17.51%,6.44%
RACE,481.59,85208103751,Ferrari N.V.,8,5.20%,11.18%,11.90%,15.76%,9.30%,,16.60%,12.86%,22.46%,18.82%,26.01%
APH,69.69,84332419500,Amphenol Corporation,13,13.39%,14.17%,11.39%,11.47%,9.18%,7.02,12.30%,11.42%,15.44%,15.57%,19.01%
AON,386.24,83089397200,Aon plc,14,-2.14%,13.67%,6.49%,7.31%,6.18%,1.67,5.50%,6.14%,11.43%,20.63%,23.60%
TEAM,316.81,82530094185,Atlassian Corporation,22,0.95%,23.19%,27.63%,25.41%,19.83%,11.76,-6.70%,-12.48%,-5.62%,-0.43%,-2.89%
CTAS,205,82887937600,Cintas Corporation,16,-4.10%,8.12%,6.87%,10.18%,7.19%,13.47,18.70%,14.74%,25.06%,20.26%,22.34%
DASH,198.86,80208861719,"DoorDash, Inc.",33,0.62%,24.56%,103.48%,30.59%,19.02%,10.63,-1.50%,-18.96%,-3.01%,5.62%,-2.40%
FTNT,107.07,81274676120,"Fortinet, Inc.",31,-2.07%,10.40%,22.71%,22.24%,13.01%,7.55,19.20%,13.00%,71.28%,91.00%,28.27%
MSTR,324.66,80271568117,MicroStrategy Incorporated,10,17.82%,-7.35%,-0.73%,-2.72%,5.45%,9.97,-6.10%,-11.26%,-10.93%,-18.05%,-188.20%
CI,293.815,82692745122,The Cigna Group,17,29.15%,22.48%,12.40%,10.99%,5.10%,2.32,2.00%,4.02%,12.03%,8.57%,4.00%
