Symbol,Company Name,Market Cap,IPO Date,PT Diff. (%),OpInc Growth 5Y,Rev. Growth 5Y,Rev Gr. Next Y,Rev Gr. Next 5Y,OpInc Growth 3Y,Rev. Growth 3Y,Analyst Count,FCF Growth 3Y,FCF Growth 5Y,Debt Growth (5Y),Debt Growth (3Y),Oper. Margin,EBITDA Margin,ROA,ROIC,ROA (5Y),ROIC (5Y),Current Ratio,Quick Ratio,Debt / EBITDA,Z-Score,Tax / Revenue,R&D / Rev,Debt Growth (YoY),FCF Growth,Rev. Growth,Sector,Industry
RLI,RLI Corp.,8069853473,1985-08-15,-1.27%,32.71%,14.14%,6.56%,,19.25%,15.00%,8,13.62%,18.48%,-7.70%,-12.57%,29.45%,30.50%,7.70%,22.53%,6.96%,21.47%,,,0.19,,5.89%,,,81.25%,22.63%,Financials,Insurance - Property & Casualty
FBRT,"Franklin BSP Realty Trust, Inc.",1070482111,1985-09-05,14.85%,17.41%,15.04%,6.97%,,13.39%,14.67%,6,,95.22%,16.30%,22.62%,61.30%,48.80%,1.10%,2.08%,0.96%,1.92%,,,45.31,,0.28%,,13.65%,18.28%,-21.25%,Real Estate,REIT - Mortgage
PAMT,Pamt Corp.,413214025,1985-09-30,,-69.66%,6.61%,,,-88.77%,4.62%,,-59.42%,-28.79%,4.60%,7.79%,0.02%,11.52%,-0.30%,-5.28%,6.74%,9.14%,1.80,1.66,3.44,2.23,0.34%,,26.87%,-94.40%,-16.12%,,Other
KWR,Quaker Chemical Corporation,2772406508,1985-11-01,18.81%,36.03%,14.33%,3.77%,,11.48%,3.09%,3,55.38%,30.86%,-3.05%,-6.05%,11.49%,16.61%,4.50%,6.55%,2.18%,2.53%,2.54,1.71,2.46,2.81,3.17%,,-10.20%,-19.15%,-5.49%,Materials,Specialty Chemicals
PLXS,Plexus Corp.,4426437589,1986-02-05,-18.80%,3.38%,4.59%,10.48%,,-1.64%,5.54%,5,58.65%,69.08%,-0.59%,-1.36%,4.23%,5.96%,3.50%,9.02%,4.68%,10.06%,1.51,0.59,1.18,4.00,0.45%,,-40.46%,452.54%,-5.93%,Technology,Electronic Components
ORCL,Oracle Corporation,513394286200,1986-03-12,-5.48%,3.32%,6.36%,12.02%,11.00%,1.32%,9.63%,27,-3.56%,-1.52%,9.20%,0.72%,29.82%,41.09%,7.90%,14.74%,8.28%,14.67%,0.72,0.59,3.82,2.78,2.90%,16.74%,-4.98%,19.21%,5.60%,Technology,Software - Infrastructure
MSFT,Microsoft Corporation,3148708854400,1986-03-13,18.89%,19.87%,14.38%,14.22%,12.78%,15.04%,12.98%,30,6.34%,13.46%,-4.19%,-0.99%,44.49%,54.89%,18.20%,26.46%,18.70%,27.50%,1.30,1.06,0.44,9.82,7.97%,11.96%,-27.66%,14.92%,16.44%,Technology,Software - Infrastructure
CSBR,"Champions Oncology, Inc.",58589278,1986-03-25,32.74%,,13.37%,9.76%,17.68%,,6.51%,1,,,12.08%,-9.24%,-6.73%,-3.03%,-12.80%,-51.28%,-10.30%,-37.91%,0.69,0.62,,-1.96,-0.07%,15.88%,-14.90%,,-1.96%,Healthcare,Biotechnology
RDNT,"RadNet, Inc.",6247483347,1986-07-01,-4.29%,19.19%,9.81%,7.63%,,3.51%,11.19%,4,16.98%,,7.84%,7.94%,6.18%,15.41%,-0.10%,-14.73%,0.36%,2.58%,2.16,2.08,6.36,2.53,0.32%,,13.24%,223.23%,12.20%,Healthcare,Diagnostics & Research
WTS,"Watts Water Technologies, Inc.",7183670905,1986-08-01,-7.74%,14.26%,7.31%,1.54%,5.67%,18.09%,9.12%,4,12.64%,12.42%,-9.22%,11.77%,16.82%,19.62%,11.90%,14.93%,9.84%,13.17%,2.55,1.43,0.48,8.54,4.20%,,115.68%,-3.99%,12.36%,Industrials,Specialty Industrial Machinery
ADBE,Adobe Inc.,226802045000,1986-08-20,17.45%,16.67%,14.50%,10.95%,11.70%,5.77%,11.53%,27,-0.22%,11.56%,8.00%,9.06%,31.16%,37.38%,18.10%,25.14%,18.80%,25.40%,1.11,0.97,0.78,12.14,6.63%,18.30%,48.39%,-14.11%,10.91%,Technology,Software - Infrastructure
LAKE,"Lakeland Industries, Inc.",163316928,1986-09-09,17.05%,-12.51%,6.36%,13.25%,,-69.35%,-0.53%,2,-42.57%,,59.61%,167.58%,0.68%,5.40%,1.10%,0.26%,8.86%,9.00%,4.24,1.58,5.88,3.18,1.57%,,416.64%,1327.32%,15.60%,Consumer Discretionary,Apparel Manufacturing
FI,"Fiserv, Inc.",126436558560,1986-09-25,-4.75%,25.89%,21.20%,8.43%,,35.56%,8.39%,25,16.25%,21.97%,2.37%,6.40%,28.11%,39.66%,3.40%,8.78%,2.38%,4.44%,1.07,0.21,3.17,2.35,3.27%,,8.49%,16.84%,6.99%,Technology,Information Technology Services
MRTN,"Marten Transport, Ltd.",1412304852,1986-09-25,32.34%,-11.41%,3.83%,4.47%,,-26.60%,2.35%,3,,,-13.24%,1.47%,4.21%,16.54%,3.40%,4.05%,8.96%,11.76%,1.46,1.17,0.00,5.84,1.20%,,11.08%,,-15.54%,Industrials,Trucking
EHC,Encompass Health Corporation,10405460000,1986-09-30,3.36%,5.12%,2.92%,9.12%,,7.11%,12.47%,8,-13.95%,1.24%,-5.51%,-6.79%,15.76%,21.71%,8.80%,13.58%,6.90%,10.88%,1.04,0.86,2.47,,2.87%,,-4.30%,7.13%,11.15%,Healthcare,Medical Care Facilities
MHO,"M/I Homes, Inc.",4498091234,1986-10-03,19.45%,30.01%,11.48%,5.77%,,11.73%,5.87%,3,,12.34%,2.58%,0.94%,15.73%,16.57%,12.60%,13.40%,11.04%,12.79%,,,1.39,,3.87%,,3.50%,-82.09%,-0.14%,Consumer Discretionary,Residential Construction
UNM,Unum Group,14112255360,1986-11-06,-11.70%,9.97%,1.56%,4.24%,,25.07%,-1.30%,10,,-4.54%,0.19%,0.28%,19.01%,19.93%,2.80%,13.29%,1.72%,9.58%,,,1.36,,3.70%,,1.12%,12.39%,4.49%,Financials,Insurance - Life
OSUR,"OraSure Technologies, Inc.",286441728,1986-11-12,75.53%,,7.64%,-20.57%,,,-1.26%,3,,30.74%,16.93%,-8.84%,-1.88%,11.15%,2.40%,-0.84%,0.82%,1.75%,12.60,11.00,0.44,5.59,0.75%,12.02%,-26.06%,-15.99%,-50.46%,Healthcare,Medical Instruments & Supplies
ICAD,"iCAD, Inc.",46975800,1986-12-03,,,-8.11%,2.58%,,,-19.48%,,,,-54.08%,-31.43%,-32.32%,-10.22%,-6.90%,-20.55%,-24.72%,-24.20%,4.02,3.73,,-5.88,0.13%,34.05%,-19.26%,,10.03%,Healthcare,Medical Devices
MKL,Markel Group Inc.,22960620353,1986-12-12,-7.44%,39.95%,16.88%,-2.91%,,9.79%,11.87%,6,9.87%,29.20%,2.25%,0.68%,24.39%,24.47%,5.00%,15.49%,3.06%,8.95%,,,1.02,,4.83%,,15.57%,1.74%,13.34%,Financials,Insurance - Property & Casualty
EQC,Equity Commonwealth,2177806860,1986-12-17,,,-16.60%,,,,0.07%,,266.47%,-33.69%,,,-117.16%,115.39%,1.70%,-2.82%,5.88%,4.94%,,,,,0.76%,,,-3.16%,-4.47%,Real Estate,REIT - Office
APD,"Air Products and Chemicals, Inc.",74049983210,1987-01-01,-1.57%,6.15%,6.29%,7.30%,10.65%,8.21%,5.44%,18,,,34.99%,24.97%,23.89%,53.25%,10.40%,7.26%,8.56%,8.39%,1.52,1.30,2.31,3.61,7.81%,0.83%,36.29%,,-3.96%,Materials,Specialty Chemicals
STZ,"Constellation Brands, Inc.",43648515840,1987-01-01,18.62%,-13.60%,4.41%,6.23%,6.53%,-19.18%,5.06%,19,-4.84%,2.51%,-2.18%,3.13%,11.17%,15.97%,2.30%,5.03%,,5.01%,1.25,0.32,7.12,3.16,0.92%,,-0.94%,7.89%,4.14%,Consumer Staples,Beverages - Brewers
CCEP,Coca-Cola Europacific Partners PLC,35738678360,1987-01-01,4.41%,21.03%,18.94%,5.33%,6.38%,20.07%,18.93%,10,8.78%,18.90%,13.67%,31.54%,11.58%,15.67%,5.30%,8.27%,4.70%,7.15%,0.85,0.57,3.98,2.06,2.67%,,-3.88%,-7.94%,6.31%,Consumer Staples,Beverages - Non-Alcoholic
ROK,"Rockwell Automation, Inc.",33298970150,1987-01-01,-1.30%,-2.65%,4.30%,5.50%,7.66%,-0.90%,5.70%,17,-17.56%,-9.52%,12.10%,-2.38%,14.41%,19.07%,8.40%,13.71%,11.78%,18.89%,1.08,0.63,2.53,4.98,1.84%,,22.87%,-47.36%,-8.76%,Industrials,Specialty Industrial Machinery
ATO,Atmos Energy Corporation,23494149000,1987-01-01,-4.51%,12.68%,7.50%,7.53%,10.70%,14.41%,6.92%,9,,,14.53%,2.40%,32.54%,50.33%,4.30%,5.71%,3.92%,5.30%,0.94,0.56,3.75,1.66,4.63%,,14.19%,,-2.58%,Utilities,Utilities - Regulated Gas
PPC,Pilgrim's Pride Corporation,12237918030,1987-01-01,-14.75%,17.10%,10.39%,1.92%,2.53%,91.96%,9.18%,7,101.54%,43.32%,5.97%,-0.46%,7.67%,10.57%,9.80%,13.89%,4.00%,6.89%,1.95,1.15,1.78,3.93,1.70%,,-13.13%,,6.33%,Consumer Staples,Packaged Foods
DCI,"Donaldson Company, Inc.",9297234720,1987-01-01,-10.96%,6.99%,4.74%,5.37%,5.02%,12.25%,7.91%,4,5.86%,15.84%,-3.36%,1.75%,15.17%,18.27%,14.60%,20.77%,13.00%,18.35%,1.84,1.10,0.82,7.19,3.38%,,-18.15%,-4.41%,4.53%,Industrials,Specialty Industrial Machinery
CMC,Commercial Metals Company,6990656700,1987-01-01,4.54%,15.00%,6.34%,9.60%,,4.28%,5.60%,5,101.21%,,-0.90%,3.60%,8.62%,12.16%,7.20%,9.51%,11.78%,15.55%,3.94,2.42,1.23,4.52,1.89%,,3.02%,-21.97%,-9.93%,Materials,Steel
KBH,KB Home,6076496670,1987-01-01,-7.41%,19.69%,8.75%,6.47%,,8.70%,7.99%,14,,24.97%,-1.89%,-3.18%,11.20%,12.73%,9.10%,9.97%,8.50%,9.81%,,,2.01,,2.85%,,0.07%,-76.19%,-1.09%,Consumer Discretionary,Residential Construction
CNO,"CNO Financial Group, Inc.",4144873440,1987-01-01,-13.93%,10.64%,3.96%,3.30%,,-2.50%,3.13%,4,-3.03%,-2.98%,2.60%,2.23%,13.49%,13.49%,0.80%,6.76%,1.28%,7.82%,,,7.06,,1.76%,,3.78%,8.16%,14.50%,Financials,Insurance - Life
RAMP,"LiveRamp Holdings, Inc.",1972939789,1987-01-01,35.51%,,16.40%,8.72%,,,13.37%,7,,,,,0.45%,5.58%,0.20%,0.04%,-5.58%,-9.43%,2.92,2.72,,7.08,3.12%,24.17%,,-19.90%,13.84%,Technology,Software - Infrastructure
CSPI,CSP Inc.,154458095,1987-01-01,,,-5.56%,,,,2.46%,,,,,-38.85%,-0.23%,8.08%,3.80%,-0.19%,1.56%,-0.87%,3.53,3.22,0.21,7.35,1.90%,4.99%,-58.23%,,-12.87%,Technology,Information Technology Services
BSET,"Bassett Furniture Industries, Incorporated",132721191,1987-01-01,,,-5.65%,1.89%,,,-4.17%,,,,,-7.46%,-6.37%,-2.78%,-4.80%,-8.07%,3.22%,1.51%,1.88,0.95,,2.02,-0.80%,,-1.58%,,-18.29%,Consumer Discretionary,"Furnishings, Fixtures & Appliances"
ANIX,"Anixa Biosciences, Inc.",109088502,1987-01-01,157.58%,,,,,,,2,,,,182.01%,,,-50.40%,-62.34%,-83.74%,-93.88%,11.31,10.56,,,,,26.74%,,,Healthcare,Biotechnology
FONR,FONAR Corporation,103106090,1987-01-01,,-7.98%,2.94%,,,-7.96%,3.25%,,-1.60%,-6.21%,4.58%,7.24%,14.28%,22.71%,4.30%,4.64%,4.98%,6.50%,9.64,9.38,1.78,2.50,4.65%,1.54%,12.10%,-4.04%,0.70%,Healthcare,Diagnostics & Research
APYX,Apyx Medical Corporation,63618191,1987-01-01,,,13.56%,2.78%,12.28%,,4.00%,2,,,102.92%,361.59%,-44.44%,-45.52%,-41.20%,-43.24%,-25.82%,-35.75%,5.46,4.30,,-0.52,0.52%,10.74%,169.98%,,-3.49%,Healthcare,Medical Devices
CVM,CEL-SCI Corporation,38986138,1987-01-01,,,,3412.81%,,,,,,,-2.08%,-7.36%,,,-102.70%,-134.17%,-74.30%,-87.49%,0.64,,,,,,-13.47%,,,Healthcare,Biotechnology
JACK,Jack in the Box Inc.,910831285,1987-02-24,21.92%,-16.41%,10.59%,-0.06%,2.89%,-34.22%,11.17%,17,,,20.08%,12.53%,5.25%,8.62%,-1.30%,,4.34%,9.00%,0.42,0.32,23.50,1.66,2.06%,,0.66%,,-7.15%,Consumer Discretionary,Restaurants
PLAB,"Photronics, Inc.",1578143158,1987-03-10,,36.49%,10.09%,9.01%,,44.73%,11.33%,,45.80%,,-16.35%,-44.53%,26.44%,33.72%,8.90%,14.22%,5.48%,9.74%,4.67,4.22,0.07,6.11,7.95%,1.68%,-24.68%,22.67%,-0.35%,Technology,Semiconductor Equipment & Materials
NAII,"Natural Alternatives International, Inc.",28266437,1987-03-13,,,-2.91%,,,,-13.92%,,,,25.75%,35.07%,-8.70%,0.14%,-5.40%,-6.84%,2.48%,3.99%,2.56,1.14,391.53,1.59,-2.20%,,12.56%,,-22.01%,Consumer Staples,Packaged Foods
RRX,Regal Rexnord Corporation,11463421829,1987-03-27,10.92%,11.78%,12.82%,-0.23%,,17.33%,22.36%,9,13.34%,10.59%,35.39%,100.33%,10.71%,20.39%,1.40%,4.03%,3.50%,5.26%,2.44,1.09,4.62,1.77,1.15%,,-12.66%,-18.71%,4.99%,Industrials,Specialty Industrial Machinery
TATT,TAT Technologies Ltd.,244295700,1987-03-31,,,10.08%,,,,24.48%,,,,21.38%,-0.17%,7.15%,11.60%,5.40%,7.17%,-0.98%,-0.83%,3.04,1.08,1.13,4.84,0.67%,0.85%,-37.22%,,36.36%,Industrials,Aerospace & Defense
MERC,Mercer International Inc.,417942500,1987-04-20,25.61%,,3.50%,1.72%,,,6.38%,2,,,9.54%,9.39%,-4.53%,3.98%,-7.40%,-4.33%,1.36%,2.93%,3.79,2.12,19.88,1.32,-0.20%,,0.12%,,-3.84%,Materials,Paper & Paper Products
FUN,Six Flags Entertainment Corporation,4695062780,1987-04-23,19.97%,-2.74%,10.27%,4.04%,,202.34%,32.82%,13,43.95%,13.73%,18.34%,19.06%,12.05%,20.76%,0.60%,1.46%,0.12%,6.34%,0.40,0.26,10.11,0.67,1.63%,,113.86%,11.60%,33.41%,Consumer Discretionary,Leisure
ICCC,ImmuCell Corporation,33151115,1987-04-30,,,12.84%,,,,10.76%,,,,12.46%,13.97%,-13.70%,-4.69%,-8.80%,-7.78%,-4.92%,-4.93%,3.11,1.37,,1.15,0.02%,17.39%,-6.89%,,46.37%,Healthcare,Biotechnology
SOTK,Sono-Tek Corporation,73400592,1987-05-06,110.84%,56.00%,10.99%,12.36%,8.26%,-10.97%,9.71%,1,,,,,5.97%,12.06%,6.60%,5.98%,7.92%,8.17%,3.33,2.43,,9.78,1.53%,13.89%,,,25.27%,Technology,Scientific & Technical Instruments
SCHL,Scholastic Corporation,731343054,1987-05-12,,4.23%,-0.85%,4.33%,,60.24%,5.93%,,-14.68%,,31.15%,30.03%,1.57%,7.71%,1.30%,1.99%,1.34%,1.40%,1.14,0.45,3.09,2.04,-0.09%,,240.48%,-17.53%,-4.26%,Communication Services,Publishing
IEP,Icahn Enterprises L.P.,5579313210,1987-05-18,,,2.02%,-4.46%,,,-4.86%,,,,3.53%,-10.36%,-1.08%,5.50%,-2.50%,-0.93%,-3.38%,-3.65%,,,16.35,,0.06%,,-16.09%,-63.70%,-10.63%,Energy,Oil & Gas Refining & Marketing
BHP,BHP Group Limited,133867030983,1987-05-28,29.16%,-9.35%,-5.80%,-1.55%,-0.48%,8.41%,8.87%,3,-3.62%,-5.60%,-2.23%,-6.40%,36.28%,37.96%,7.80%,16.40%,13.90%,21.49%,1.70,1.27,1.09,3.23,11.58%,,20.97%,-3.37%,3.42%,Materials,Other Industrial Metals & Mining
VOXX,VOXX International Corporation,170814240,1987-05-29,,,0.32%,7.24%,,,-12.76%,,,,29.94%,78.50%,-9.44%,-1.12%,-5.80%,-11.62%,-3.58%,-5.08%,2.10,0.64,,1.99,-0.15%,5.97%,27.92%,,-15.37%,Technology,Consumer Electronics
DXLG,"Destination XL Group, Inc.",136905595,1987-06-02,45.23%,,0.46%,6.08%,7.57%,-34.25%,0.93%,2,-66.44%,,-10.55%,6.63%,2.79%,5.66%,2.60%,2.75%,6.58%,6.23%,1.57,0.49,6.59,1.74,1.00%,,12.96%,-94.98%,-8.25%,Consumer Discretionary,Apparel Retail
CDNS,"Cadence Design Systems, Inc.",84146631030,1987-06-10,6.25%,19.90%,13.55%,13.22%,14.09%,16.99%,13.53%,13,0.45%,8.44%,52.21%,101.10%,28.26%,35.81%,15.00%,13.10%,20.86%,27.11%,2.45,2.00,1.81,13.12,6.48%,35.01%,335.45%,-22.91%,11.03%,Technology,Software - Application
TEF,"Telefónica, S.A.",25538070044,1987-06-11,,-28.99%,6.93%,0.01%,1.39%,-49.06%,-13.51%,,-14.29%,-9.62%,,-11.47%,2.46%,2.86%,-0.80%,,2.20%,1.72%,,,37.62,,-2.10%,,-22.79%,-7.31%,1.65%,Communication Services,Telecom Services
SNGX,"Soligenix, Inc.",8607585,1987-06-15,,,-40.68%,76.64%,,,-25.18%,,,,68.75%,-39.57%,-2159.59%,-2134.34%,-74.30%,-96.64%,-80.62%,-234.06%,2.28,,,-31.52,-166.57%,917.79%,-30.69%,,-62.09%,Healthcare,Biotechnology
MBI,MBIA Inc.,353383443,1987-07-01,-2.88%,,,-17.86%,,,,2,,,-6.79%,-0.76%,1219.23%,1238.46%,-22.20%,-22.90%,-8.64%,-6.59%,,,,,,,1.14%,,,Financials,Insurance - Specialty
